measurement_number,well_name,easting_m,northing_m,head_m,head_type,measurement_period,source
3,DOE-2,613683,3585294,940.03,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
5,H-1,613423,3581684,927.19,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
6,H-2b2,612661,3581649,926.62,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
7,H-3b2,613701,3580906,917.16,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
8,H-4b,612380,3578483,915.55,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
9,H-5b,616872,3584801,936.26,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
10,H-6b,610594,3585008,934.2,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
11,H-7b1,608124,3574648,913.86,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
12,H-11b4,615301,3579131,915.47,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
13,H-12,617023,3575452,914.66,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
14,H-14,612341,3580354,920.24,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
15,H-15,615315,3581859,919.87,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
16,H-17,615718,3577513,915.37,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
17,H-18,612264,3583166,937.22,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
18,H-19b0,614514,3580716,917.13,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
19,P-17,613926,3577466,915.2,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
20,WIPP-12,613710,3583524,935.3,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
21,WIPP-13,612644,3584247,935.17,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
22,WIPP-18,613735,3583179,936.08,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
23,WIPP-19,613739,3582782,932.66,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
24,WIPP-21,613743,3582319,927.0,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
25,WIPP-22,613739,3582653,930.96,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
26,WIPP-25,606385,3584028,932.7,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
27,WIPP-26,604014,3581162,921.06,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
28,WIPP-30,613721,3589701,936.88,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
29,WQSP-1,612561,3583427,935.64,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
30,WQSP-2,613776,3583973,938.82,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
31,WQSP-3,614686,3583518,935.89,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
32,WQSP-4,614728,3580766,917.49,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
33,WQSP-5,613668,3580353,917.22,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
34,WQSP-6,612605,3580736,920.02,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
35,H-9b,613989,3568261,911.57,steady_state_freshwater_head,2000,McKenna_Hart_2003_Table_3_ERMS531124; coordinates verified against uploaded WIPP figure; model domain updated to full figure extent
